City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
116,Porbandar,IN,80.91,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
120,Sai Buri,TH,77.05,broken clouds,6.7013,101.6168,สวนป่ารีสอร์ท
124,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
127,Tura,IN,75.13,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
133,Bandarbeyla,SO,76.73,few clouds,9.4942,50.8122,JABIR HOTEL
138,Salalah,OM,77.0,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
139,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
140,Atuona,PF,77.43,clear sky,-9.8,-139.0333,Villa Enata
141,Bethel,US,83.48,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
147,Puerto Maldonado,PE,78.12,few clouds,-12.6,-69.1833,Wasai Hotel
148,San Policarpo,PH,82.49,overcast clouds,12.1791,125.5072,Agapita M. Nicart
153,Tautira,PF,76.26,scattered clouds,-17.7333,-149.15,Pension Oaoa
154,Banjar,ID,78.69,scattered clouds,-8.19,114.9675,The Hamsa Resort
156,Hami,CN,84.11,clear sky,42.8,93.45,Laoyutang Resort
164,Babra,IN,77.0,overcast clouds,21.85,71.3,Old Circuit House
168,Sinnamary,GF,78.12,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
175,Taft,IR,82.35,clear sky,31.7471,54.2088,عمارت ساعتی تفت
179,Zeya,RU,76.37,clear sky,53.75,127.2667,Kapital Inn
184,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
186,Pacific Grove,US,79.56,scattered clouds,36.6177,-121.9166,Lovers Point Inn
189,Puerto Suarez,BO,76.96,clear sky,-18.95,-57.8,Hotel casa real
190,Jati,PK,82.67,overcast clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
