City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Itambe,BR,-15.245,-40.6244,68.92,68,43,2.82,scattered clouds
171,Agnibilekrou,CI,7.1344,-3.2047,70.88,86,67,3.04,broken clouds
172,Yar-Sale,RU,66.8333,70.8333,44.65,95,100,14.41,overcast clouds
173,Dongying,CN,37.4564,118.4856,70.75,89,100,4.7,overcast clouds
174,Cape Town,ZA,-33.9258,18.4232,56.1,91,75,6.91,light rain
175,Atuona,PF,-9.8,-139.0333,77.7,77,11,14.9,few clouds
176,Makaha,US,21.4694,-158.2175,85.91,57,75,14.97,broken clouds
177,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,48,0,9.22,clear sky
178,Phuntsholing,BT,26.8516,89.3884,77.77,85,100,4.47,overcast clouds
179,San Patricio,US,28.017,-97.5169,95.72,46,2,16.64,clear sky
180,Avarua,CK,-21.2078,-159.775,78.85,78,80,5.75,broken clouds
181,Atambua,ID,-9.1061,124.8925,67.26,80,95,5.39,overcast clouds
182,Bilma,NE,18.6853,12.9164,94.78,23,75,4.23,broken clouds
183,Koumac,NC,-20.5667,164.2833,77.9,80,100,14.58,overcast clouds
184,Korla,CN,41.7597,86.1469,78.58,25,0,4.07,clear sky
185,Oranjemund,NA,-28.55,16.4333,54.1,93,87,7.67,overcast clouds
186,Bilibino,RU,68.0546,166.4372,45.21,57,25,6.22,scattered clouds
187,Mar Del Plata,AR,-38.0023,-57.5575,49.08,88,68,4.61,mist
188,Nogliki,RU,51.8333,143.1667,57.79,80,100,7.43,overcast clouds
189,Majene,ID,-3.5403,118.9707,77.43,88,68,11.07,broken clouds
190,Rocha,UY,-34.4833,-54.3333,51.4,97,32,3.91,scattered clouds
191,Sohagpur,IN,22.7,78.2,74.66,98,100,5.28,light rain
192,Khatanga,RU,71.9667,102.5,41.81,89,100,15.19,light rain
193,Ankazobe,MG,-18.3167,47.1167,48.61,95,17,6.22,few clouds
194,Kroya,ID,-7.6331,109.2461,74.64,88,100,5.53,overcast clouds
195,Ilo,PE,-17.6394,-71.3375,59.38,83,46,3.11,scattered clouds
196,Boa Vista,BR,2.8197,-60.6733,84.18,65,20,5.75,few clouds
197,Luderitz,NA,-26.6481,15.1594,58.12,68,49,15.12,scattered clouds
198,San Juan,AR,-31.5375,-68.5364,59.11,29,10,4.05,clear sky
199,Palmer,US,42.1584,-72.3287,91.0,47,20,12.66,few clouds
200,Nagua,DO,19.3832,-69.8474,80.65,89,75,17.27,broken clouds
201,Dera Bugti,PK,29.0307,69.151,80.38,80,94,3.51,light rain
202,Avera,US,33.194,-82.5271,89.11,59,100,5.03,overcast clouds
203,Ixtapa,MX,20.7,-105.2,92.23,58,59,1.99,broken clouds
204,Qaqortoq,GL,60.7167,-46.0333,47.35,82,42,6.08,scattered clouds
